ID,Code,Name,Total FTEs,Total Revenue,Data Collection View,Region,Division,Industry Sector,Mapping Division,Note,Gamma,KT
76,2388,SNS Bank,3411,966,Total company,Western Europe,Finance & Insurance & Real Estate ,Depository Institutions,Finance & Insurance & Real Estate ,,TD,Marjolein Neisingh

77,2389,Fiskars,8500,1105,Total company,Western Europe,Wholesale Trade,Wholesale Trade-durable Goods,Wholesale Trade,,AC,Mikko Saastamoinen

78,2393,Daily Mail General Trust,6788,1500,Total company,Western Europe,Transportation & Communications & Electric & Gas & Sanitary Services,Communications,Transportation & Communications & Electric & Gas & Sanitary Services,,AC,Nina Kallstorm

79,2394,State Street Bank,32356,10360,Total company,North America,Finance & Insurance & Real Estate ,Depository Institutions,Finance & Insurance & Real Estate ,,TD,0

80,2396,Statoil,72,NULL,Business unit/ Division: Country organization (geography),Africa,Mining,Oil And Gas Extraction,Mining,,TD,Jones Soetoyo

81,2402,AIR FRANCE KLM,93300,26059,Total company,Western Europe,Transportation & Communications & Electric & Gas & Sanitary Services,Transportation By Air,Transportation & Communications & Electric & Gas & Sanitary Services,,TD,0

82,2403,Solvay,29010,10213,Business unit/ Division: Product organization,Western Europe,Manufacturing,Chemicals w/o Pharma,Manufacturing,,TD,0

83,2405,Triton,164,"100,3",Total company,Western Europe,Manufacturing,Industrial And Commercial Machinery And Computer Equipment,Manufacturing,,VG,Confidential - Due Diligence

84,2407,Linde Engineering,"5830,7",2594,Corporate center only,Western Europe,Services,"Engineering, Accounting, Research, Management, And Related Services",Services,,TD,Claas Pinkenburg

85,2409,Rostelecom,130000,300000,Total company,Eastern Europe,Transportation & Communications & Electric & Gas & Sanitary Services,Communications,Transportation & Communications & Electric & Gas & Sanitary Services,,TD,Rostelecom

86,2413,Juniper,10395,4858,Total company,North America,Manufacturing,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",Manufacturing,,TD,Ravi Chopra

87,2414,Kontron,1368,"389,1",Total company,Western Europe,Wholesale Trade,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",Manufacturing,Division and Industry sector mismatch,TD,Dr. Thomas Riegler

88,2415,CST Canada,2588,730,Corporate center only,North America,Retail Trade,Automotive Dealers And Gasoline Service Stations,Retail Trade,,TD,Dana Codding

89,2416,Parkland Canada,1227,859,Corporate center only,North America,Retail Trade,Automotive Dealers And Gasoline Service Stations,Retail Trade,,TD,Dana Codding

90,2417,ESAS,4405,3488,Total company,Eastern Europe,Transportation & Communications & Electric & Gas & Sanitary Services,Transportation By Air,Transportation & Communications & Electric & Gas & Sanitary Services,,TD,N/A

91,2422,Perrigo Corporate Center,9706,4.128.615,Corporate center only,North America,Manufacturing,Pharmaceuticals,Manufacturing,,AC,Yi-Jie Wang

92,2423,Perrigo RX Business Unit (BU data uploaded as Total Company),1263,4.739.326,Total company,North America,Manufacturing,Pharmaceuticals,Manufacturing,,AC,Yi-Jie Wang

93,2427,Perrigo,9706,4.128.615,Total company,North America,Manufacturing,Pharmaceuticals,Manufacturing,,0,0

94,2428,SONY Corporation,7000,9000,Business unit/ Division: Functional organization,North America,Services,Motion Pictures,Services,,TD,Jamie Chung

95,2429,Advance Local BU,4755,820,Business unit/ Division: Functional organization,North America,Manufacturing,"Printing, Publishing, And Allied Industries",Manufacturing,,TD,"Susan Reinhardt, Ben Shepard"

96,2430,Conde Nast,3153,1244,Business unit/ Division: Functional organization,North America,Manufacturing,"Printing, Publishing, And Allied Industries",Manufacturing,,TD,"Susan Reinhardt, Ben Shepard"

97,2434,ABN Amro,22048,8445,Total company,Western Europe,Finance & Insurance & Real Estate ,Depository Institutions,Finance & Insurance & Real Estate ,,TD,Alexander Rahusen

98,2435,Raiffeisen Zentralbank Österreich,1203,310.322,Total company,Western Europe,Finance & Insurance & Real Estate ,Depository Institutions,Finance & Insurance & Real Estate ,,TD,Patrick Fischer

99,2437,Liberty Global,3700,1299,Total company,Western Europe,Transportation & Communications & Electric & Gas & Sanitary Services,Communications,Transportation & Communications & Electric & Gas & Sanitary Services,,TD,NA

100,2438,HP Legal,50000,57000,Business unit/ Division: Functional organization,North America,Manufacturing,Industrial And Commercial Machinery And Computer Equipment,Manufacturing,,TD,Christine Kellogg

101,2439,Marsh,34828,5745,Total company,North America,Finance & Insurance & Real Estate ,"Insurance Agents, Brokers, And Service",Finance & Insurance & Real Estate ,,TD,Geeva Ebens

102,2444,Shell P&T,14974,7600,Business unit/ Division: Product organization,Western Europe,Mining,Oil And Gas Extraction,Mining,,TD,Dolf Diemont

